Date,Name,Year,Letterboxd URI,Rating
2021-08-28,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,4
2021-08-28,Mulan,1998,https://boxd.it/1VFw,4
2021-08-28,Aladdin,1992,https://boxd.it/29yE,4.5
2021-08-28,Ratatouille,2007,https://boxd.it/27ww,5
2021-08-30,Heathers,1989,https://boxd.it/26x4,4.5
2021-08-31,Red Eye,2005,https://boxd.it/1TNy,3.5
2021-08-31,Singin' in the Rain,1952,https://boxd.it/29oY,5
2021-09-01,Chicago,2002,https://boxd.it/28zm,5
2021-09-02,The Danish Girl,2015,https://boxd.it/9Ohy,4
2021-09-02,Inside Out,2015,https://boxd.it/4KHC,4
2021-09-02,Finding Nemo,2003,https://boxd.it/72i,5
2021-09-02,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2021-09-02,Cars,2006,https://boxd.it/29ho,3
2021-09-02,Monsters University,2013,https://boxd.it/bQm,2.5
2021-09-02,Enchanted,2007,https://boxd.it/24co,4.5
2021-09-02,The Lion King II: Simba's Pride,1998,https://boxd.it/1XWu,5
2021-09-02,The Lion King 1½,2004,https://boxd.it/1TRg,5
2021-09-02,The Diamond Arm,1968,https://boxd.it/1CN2,5
2021-09-02,"Kidnapping, Caucasian Style",1967,https://boxd.it/1CMo,3.5
2021-09-02,Operation Y and Other Shurik's Adventures,1965,https://boxd.it/1CMI,4
2021-09-02,Ivan Vasilyevich Changes His Profession,1973,https://boxd.it/1CSQ,5
2021-09-02,Batman Begins,2005,https://boxd.it/2aIg,3
2021-09-02,Man on the Moon,1999,https://boxd.it/281k,3
2021-09-02,Wonder Boys,2000,https://boxd.it/1USE,4
2021-09-03,Asterix & Obelix: Mission Cleopatra,2002,https://boxd.it/268o,5
2021-09-03,Asterix & Obelix Take on Caesar,1999,https://boxd.it/1Yms,4.5
2021-09-03,Shrek 2,2004,https://boxd.it/29z8,5
2021-09-03,Shrek,2001,https://boxd.it/29zi,5
2021-09-05,Suspiria,1977,https://boxd.it/1SNW,4
2021-09-05,The Prestige,2006,https://boxd.it/293w,5
2021-09-06,Mysterious Skin,2004,https://boxd.it/1UsG,4.5
2021-09-07,Velvet Goldmine,1998,https://boxd.it/2878,4.5
2021-09-07,The Last King of Scotland,2006,https://boxd.it/28FE,5
2021-09-08,Get Out,2017,https://boxd.it/eOCm,4
2021-09-08,Knives Out,2019,https://boxd.it/jWEA,5
2021-09-08,American Psycho,2000,https://boxd.it/28Vs,5
2021-09-08,The Big Short,2015,https://boxd.it/ajZw,4.5
2021-09-10,Duet for Cannibals,1969,https://boxd.it/4I36,5
